id,GLOBAL_SCORE
EK202310003556,135.0350980147032
EK202310170625,156.83343724025852
EK202310167359,145.10702193333566
EK202310118370,127.51093314639564
EK202320006361,135.20107986629074
EK202310003542,134.8442131569394
EK202310125266,138.568149740098
EK202310144740,131.8357724588604
EK202310137443,135.67371329025886
EK202310159067,163.63575567663796
EK202310245067,138.2711346838934
EK202310240556,138.78098297786835
EK202310166743,139.65603069851304
EK202310247454,125.11971711871331
EK202310215702,152.91098764939863
EK202310142190,165.42715574635952
EK202310205417,142.41782704874987
EK202310119601,118.80898990196297
EK202310190356,140.08091697809775
EK202310158758,140.1743584631456
EK202310145496,135.9383984514281
EK202310164763,145.61808116499475
EK202310200188,130.32165541562998
EK202310238803,166.51176388455713
EK202320005607,157.3064220131403
EK202310225681,137.48802739926762
EK202310127174,128.42220231614226
EK202310204317,154.76226401537681
EK202310179355,123.28451127857785
EK202310176524,144.75641887038776
EK202310237228,130.85664051076483
EK202310172549,162.54339074071612
EK202310168863,129.4747880417667
EK202310185904,153.75637042922872
EK202310133615,154.92609929905436
EK202310122063,127.19070415748966
EK202310121770,149.0428918779104
EK202310125590,129.99375711818146
EK202310172269,146.6652365844863
EK202310147894,143.35281015786896
EK202310137986,143.6958342281643
EK202310150838,148.69947745114575
EK202310104915,126.70258457981012
EK202310170090,117.53691092615058
EK202310165637,136.96899872521723
EK202310134467,133.16848319556914
EK202310182637,162.56885789246243
EK202310112116,144.34629052279908
EK202310241220,159.23100003284313
EK202310103801,146.20292820050506
EK202310177448,123.88115130944803
EK202310157860,183.1627579098216
EK202310211985,140.91472761994885
EK202310232907,129.93906699535142
EK202310162917,150.68305189877077
EK202310211786,128.45921734219093
EK202310132171,163.59357401271006
EK202310153694,147.072554999773
EK202310174960,155.13855344051103
EK202310121096,128.63498787903544
EK202310222475,128.4600280245549
EK202310146254,142.0366564864345
EK202310111466,129.6162007429226
EK202310004385,157.6506636908105
EK202310108961,143.11337651351892
EK202310203170,133.57836594477985
EK202310161424,186.71273956411892
EK202310206583,145.68642517023753
EK202310138840,126.3001970294091
EK202310221976,139.28414067295043
EK202310143972,124.53961779200887
EK202310175420,142.242945322273
EK202310227655,140.4431003764249
EK202310163389,138.19440784350036
EK202310239480,148.5256601768419
EK202310146467,140.12198585127433
EK202310162597,143.15656863678325
EK202310194862,133.13038818577792
EK202310152448,148.494672650157
EK202310245431,130.99845344650447
EK202310206822,173.38225818938852
EK202310166559,160.41788561672837
EK202310221701,155.6265482009982
EK202310231403,126.32959192118369
EK202310156027,136.2621825267838
EK202310135956,150.3726038444937
EK202310183176,124.49409182849413
EK202310206055,179.475445546914
EK202310167360,140.6858504572883
EK202310142701,147.11456877081062
EK202310156629,169.334017825365
EK202310241352,145.40431673440224
EK202310123587,155.3812292658532
EK202310003639,159.31728100376515
EK202310158269,152.42030807419042
EK202320007090,134.45177275981735
EK202310111707,134.99159316001737
EK202310104096,150.1534667405358
EK202310235404,120.03684318033768
EK202310108783,141.441967854874
EK202310116298,134.27050982197377
EK202310156281,149.81053006145623
EK202310164483,143.7559023489893
EK202310108212,121.32601682946323
EK202310233950,143.1549840255377
EK202310157041,126.86822366718889
EK202310104522,134.8011638010419
EK202310175972,149.7607070299845
EK202310225965,141.8775174413133
EK202310138403,137.03728583185102
EK202310234452,134.1513919950378
EK202310104614,158.11724318602137
EK202310117970,133.99570014471786
EK202310128727,126.8457910592657
EK202310190230,138.7467552130968
EK202310201465,157.6462000267676
EK202310197534,185.3503155150554
EK202310171846,128.9893413595701
EK202310193751,142.90413756342332
EK202310242967,139.26676841496268
EK202310112852,155.21267269653214
EK202310132804,132.63231217239993
EK202310127612,137.52797098851673
EK202310136082,177.04514260705236
EK202310186665,151.3746683105799
EK202310156519,119.85118658829866
EK202310108430,147.66402042761362
EK202310164930,140.51704700209928
EK202310153971,171.5810513770193
EK202310129412,143.38567660785964
EK202310124383,129.12701333081912
EK202310215858,151.98597811216433
EK202310104131,153.2537507518172
EK202310185040,143.47977642023235
EK202310119251,134.36564357869742
EK202310191724,151.135726898533
EK202310149922,123.82635957173304
EK202310176193,133.23836891387865
EK202310204311,157.8919187681082
EK202310248324,156.77442543386556
EK202310120496,129.4548652799522
EK202310233548,131.55037654757112
EK202310219178,146.2984646301093
EK202310114723,139.03825554100902
EK202310185832,173.06944782102582
EK202310106587,159.74475882491816
EK202310239252,132.5866354193056
EK202310208710,134.89528129147416
EK202310244056,127.52674275108694
EK202310223702,123.08429567092357
EK202310236969,128.41151653254593
EK202310196070,142.32540614970645
EK202310227710,137.72811581120533
EK202310119702,145.13615110055932
EK202310143351,142.2947256318528
EK202310144967,145.31625575340075
EK202310207097,141.3111379682989
EK202310193281,134.53031690548838
